"MEASURE" "ACTIVITY" "SUBJECT" "AVERAGE"
"Body Acceleration-mean()-X" "SITTING" 18 0.27727001877193
"Body Acceleration-mean()-X" "SITTING" 19 0.273830316164384
"Body Acceleration-mean()-X" "SITTING" 20 0.278045439090909
"Body Acceleration-mean()-X" "SITTING" 21 0.277539616823529
"Body Acceleration-mean()-X" "SITTING" 22 0.273583822709677
"Body Acceleration-mean()-X" "SITTING" 23 0.273351251617647
"Body Acceleration-mean()-X" "SITTING" 24 0.273475690147059
"Body Acceleration-mean()-X" "SITTING" 25 0.278541482461538
"Body Acceleration-mean()-X" "SITTING" 26 0.258243530166667
"Body Acceleration-mean()-X" "SITTING" 27 0.273941302571429
"Body Acceleration-mean()-X" "SITTING" 28 0.276977629444444
"Body Acceleration-mean()-X" "SITTING" 29 0.2771799775
"Body Acceleration-mean()-X" "SITTING" 30 0.268336081379032
"Body Acceleration-mean()-X" "STANDING" 1 0.278917629056604
"Body Acceleration-mean()-X" "STANDING" 2 0.277911472222222
"Body Acceleration-mean()-X" "STANDING" 3 0.280046513278689
"Body Acceleration-mean()-X" "STANDING" 4 0.280499745892857
"Body Acceleration-mean()-X" "STANDING" 5 0.282544390892857
"Body Acceleration-mean()-X" "STANDING" 6 0.280346248596491
"Body Acceleration-mean()-X" "STANDING" 7 0.282723539433962
"Body Acceleration-mean()-X" "STANDING" 8 0.279620986111111
"Body Acceleration-mean()-X" "STANDING" 9 0.282310057333333
"Body Acceleration-mean()-X" "STANDING" 10 0.276650300681818
"Body Acceleration-mean()-X" "STANDING" 11 0.277715562765957
"Body Acceleration-mean()-X" "STANDING" 12 0.277405834918033
"Body Acceleration-mean()-X" "STANDING" 13 0.277758431052632
"Body Acceleration-mean()-X" "STANDING" 14 0.280545613833333
"Body Acceleration-mean()-X" "STANDING" 15 0.278915803962264
"Body Acceleration-mean()-X" "STANDING" 16 0.283497402948718
"Body Acceleration-mean()-X" "STANDING" 17 0.277942503333333
"Body Acceleration-mean()-X" "STANDING" 18 0.278458805890411
"Body Acceleration-mean()-X" "STANDING" 19 0.27817226
"Body Acceleration-mean()-X" "STANDING" 20 0.278076904657534
"Body Acceleration-mean()-X" "STANDING" 21 0.27695224258427
"Body Acceleration-mean()-X" "STANDING" 22 0.279053861587302
"Body Acceleration-mean()-X" "STANDING" 23 0.277899323235294
"Body Acceleration-mean()-X" "STANDING" 24 0.280348883913043
"Body Acceleration-mean()-X" "STANDING" 25 0.278013701621622
"Body Acceleration-mean()-X" "STANDING" 26 0.281127035405405
"Body Acceleration-mean()-X" "STANDING" 27 0.279566921625
"Body Acceleration-mean()-X" "STANDING" 28 0.277795069113924
"Body Acceleration-mean()-X" "STANDING" 29 0.277965065846154
"Body Acceleration-mean()-X" "STANDING" 30 0.277112699152542
"Body Acceleration-mean()-X" "WALKING" 1 0.277330758736842
"Body Acceleration-mean()-X" "WALKING" 2 0.276426586440678
"Body Acceleration-mean()-X" "WALKING" 3 0.275567462068966
"Body Acceleration-mean()-X" "WALKING" 4 0.278582015166667
"Body Acceleration-mean()-X" "WALKING" 5 0.27784234625
"Body Acceleration-mean()-X" "WALKING" 6 0.283658868070175
"Body Acceleration-mean()-X" "WALKING" 7 0.275592961754386
"Body Acceleration-mean()-X" "WALKING" 8 0.27468631
"Body Acceleration-mean()-X" "WALKING" 9 0.278502842115385
"Body Acceleration-mean()-X" "WALKING" 10 0.278574076603774
"Body Acceleration-mean()-X" "WALKING" 11 0.271821892881356
"Body Acceleration-mean()-X" "WALKING" 12 0.2771286656
"Body Acceleration-mean()-X" "WALKING" 13 0.275883130350877
"Body Acceleration-mean()-X" "WALKING" 14 0.271959598644068
"Body Acceleration-mean()-X" "WALKING" 15 0.273899207962963
"Body Acceleration-mean()-X" "WALKING" 16 0.276023564509804
"Body Acceleration-mean()-X" "WALKING" 17 0.272341855245902
"Body Acceleration-mean()-X" "WALKING" 18 0.273887758571429
"Body Acceleration-mean()-X" "WALKING" 19 0.273931172307692
"Body Acceleration-mean()-X" "WALKING" 20 0.272589336470588
"Body Acceleration-mean()-X" "WALKING" 21 0.279183526730769
"Body Acceleration-mean()-X" "WALKING" 22 0.27886459
"Body Acceleration-mean()-X" "WALKING" 23 0.273211884237288
"Body Acceleration-mean()-X" "WALKING" 24 0.276980816034483
"Body Acceleration-mean()-X" "WALKING" 25 0.278992759054054
"Body Acceleration-mean()-X" "WALKING" 26 0.279264443728814
"Body Acceleration-mean()-X" "WALKING" 27 0.276849485438596
"Body Acceleration-mean()-X" "WALKING" 28 0.281228223888889
"Body Acceleration-mean()-X" "WALKING" 29 0.271999916792453
"Body Acceleration-mean()-X" "WALKING" 30 0.276406758
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 1 0.289188320408163
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 2 0.27761534806383
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 3 0.292423484693878
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 4 0.279965329555556
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 5 0.29354392712766
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 6 0.277045258145833
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 7 0.28030708
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 8 0.283484089210526
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 9 0.295923445
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 10 0.290401594315789
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 11 0.291605631956522
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 12 0.281521097391304
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 13 0.294907553404255
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 14 0.293422115555556
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 15 0.280198851190476
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 16 0.295586802191489
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 17 0.29391828326087
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 18 0.288439468909091
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 19 0.262688053871795
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 20 0.296144421355556
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 21 0.3014610196
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 22 0.284458963861111
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 23 0.289897411148148
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 24 0.288631208909091
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 25 0.291329666206897
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 26 0.2792845828
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 27 0.2975441875
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 28 0.293642076521739
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 29 0.293140441083333
"Body Acceleration-mean()-X" "WALKING_DOWNSTAIRS" 30 0.283190646967742
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 1 0.255461689622641
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 2 0.247164790395833
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 3 0.260819873067797
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 4 0.270876696730769
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 5 0.268459469914894
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 6 0.268229355098039
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 7 0.248706923078431
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 8 0.258880152048781
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 9 0.262436475714286
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 10 0.267121853404255
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 11 0.263775859277778
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 12 0.272970338653846
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 13 0.258203939581818
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 14 0.26242106612963
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 15 0.270187595833333
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 16 0.255986102627451
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 17 0.252604768583333
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 18 0.265401201896552
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 19 0.242118808925
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 20 0.252098317156863
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 21 0.265194544680851
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 22 0.248391534566667
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 23 0.249995171031373
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 24 0.269881106779661
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 25 0.277995411384615
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 26 0.272691394545455
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 27 0.265770253921569
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 28 0.262005841764706
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 29 0.265423066877551
"Body Acceleration-mean()-X" "WALKING_UPSTAIRS" 30 0.271415642261538
"Body Acceleration-mean()-Y" "LAYING" 1 -0.0405139534294
"Body Acceleration-mean()-Y" "LAYING" 2 -0.0181587397583333
"Body Acceleration-mean()-Y" "LAYING" 3 -0.0189556785048387
"Body Acceleration-mean()-Y" "LAYING" 4 -0.0150031841055556
"Body Acceleration-mean()-Y" "LAYING" 5 -0.0183042123269231
"Body Acceleration-mean()-Y" "LAYING" 6 -0.0102529170561404
"Body Acceleration-mean()-Y" "LAYING" 7 -0.0204411516884615
"Body Acceleration-mean()-Y" "LAYING" 8 -0.0212281733881481
"Body Acceleration-mean()-Y" "LAYING" 9 -0.020526821662
"Body Acceleration-mean()-Y" "LAYING" 10 -0.024294484137931
"Body Acceleration-mean()-Y" "LAYING" 11 -0.0176598052315789
"Body Acceleration-mean()-Y" "LAYING" 12 -0.0175203917146667
"Body Acceleration-mean()-Y" "LAYING" 13 -0.020440454366129
"Body Acceleration-mean()-Y" "LAYING" 14 -0.0113424652490196
"Body Acceleration-mean()-Y" "LAYING" 15 -0.0166296542054167
"Body Acceleration-mean()-Y" "LAYING" 16 -0.0166103510562857
"Body Acceleration-mean()-Y" "LAYING" 17 -0.0168462006729577
"Body Acceleration-mean()-Y" "LAYING" 18 -0.0173937684615385
"Body Acceleration-mean()-Y" "LAYING" 19 -0.0171426864421687
"Body Acceleration-mean()-Y" "LAYING" 20 -0.0144406281132353
"Body Acceleration-mean()-Y" "LAYING" 21 -0.0184233048415556
"Body Acceleration-mean()-Y" "LAYING" 22 -0.0142629864502778
"Body Acceleration-mean()-Y" "LAYING" 23 -0.0216553835833333
"Body Acceleration-mean()-Y" "LAYING" 24 -0.0173555210111111
"Body Acceleration-mean()-Y" "LAYING" 25 -0.0188943663671233
"Body Acceleration-mean()-Y" "LAYING" 26 -0.0191895728026316
"Body Acceleration-mean()-Y" "LAYING" 27 -0.0179867611216216
"Body Acceleration-mean()-Y" "LAYING" 28 -0.0167537858225
"Body Acceleration-mean()-Y" "LAYING" 29 -0.0171965484202899
"Body Acceleration-mean()-Y" "LAYING" 30 -0.0194494098614286
"Body Acceleration-mean()-Y" "SITTING" 1 -0.00130828765170213
"Body Acceleration-mean()-Y" "SITTING" 2 -0.0156879937282609
"Body Acceleration-mean()-Y" "SITTING" 3 -0.00350299841730769
"Body Acceleration-mean()-Y" "SITTING" 4 -0.007163065158
"Body Acceleration-mean()-Y" "SITTING" 5 -0.00990083527045455
"Body Acceleration-mean()-Y" "SITTING" 6 -0.0145911615290909
"Body Acceleration-mean()-Y" "SITTING" 7 -0.01461097580375
"Body Acceleration-mean()-Y" "SITTING" 8 -0.00672550621304348
"Body Acceleration-mean()-Y" "SITTING" 9 -0.02701677698
"Body Acceleration-mean()-Y" "SITTING" 10 -0.015042681852037
"Body Acceleration-mean()-Y" "SITTING" 11 -0.0149195616754717
"Body Acceleration-mean()-Y" "SITTING" 12 -0.0157892988523529
"Body Acceleration-mean()-Y" "SITTING" 13 -0.00587732936326531
"Body Acceleration-mean()-Y" "SITTING" 14 -0.00870565463888889
"Body Acceleration-mean()-Y" "SITTING" 15 -0.0117188472271186
"Body Acceleration-mean()-Y" "SITTING" 16 -0.0102497939956522
"Body Acceleration-mean()-Y" "SITTING" 17 -0.014156274084375
"Body Acceleration-mean()-Y" "SITTING" 18 -0.0128691279736842
"Body Acceleration-mean()-Y" "SITTING" 19 -0.016739260030137
"Body Acceleration-mean()-Y" "SITTING" 20 -0.0147229305131818
"Body Acceleration-mean()-Y" "SITTING" 21 -0.0144009705494118
"Body Acceleration-mean()-Y" "SITTING" 22 -0.0123468446419355
"Body Acceleration-mean()-Y" "SITTING" 23 -0.0133945015676471
"Body Acceleration-mean()-Y" "SITTING" 24 -0.0131255097938235
"Body Acceleration-mean()-Y" "SITTING" 25 -0.0147696808030769
"Body Acceleration-mean()-Y" "SITTING" 26 -0.00713364541358974
"Body Acceleration-mean()-Y" "SITTING" 27 -0.0155269799285714
"Body Acceleration-mean()-Y" "SITTING" 28 -0.0185404441258333
"Body Acceleration-mean()-Y" "SITTING" 29 -0.016630680375
"Body Acceleration-mean()-Y" "SITTING" 30 -0.00804731295322581
"Body Acceleration-mean()-Y" "STANDING" 1 -0.0161375901037736
"Body Acceleration-mean()-Y" "STANDING" 2 -0.0184208270166667
"Body Acceleration-mean()-Y" "STANDING" 3 -0.0143376555065574
"Body Acceleration-mean()-Y" "STANDING" 4 -0.00948911098553571
"Body Acceleration-mean()-Y" "STANDING" 5 -0.00700418554517857
"Body Acceleration-mean()-Y" "STANDING" 6 -0.0181236327175439
"Body Acceleration-mean()-Y" "STANDING" 7 -0.0145740341037736
"Body Acceleration-mean()-Y" "STANDING" 8 -0.0148113067148148
"Body Acceleration-mean()-Y" "STANDING" 9 -0.0200454954022222
"Body Acceleration-mean()-Y" "STANDING" 10 -0.0155418603409091
"Body Acceleration-mean()-Y" "STANDING" 11 -0.0171990886595745
"Body Acceleration-mean()-Y" "STANDING" 12 -0.0169002543196721
"Body Acceleration-mean()-Y" "STANDING" 13 -0.0167891993964912
"Body Acceleration-mean()-Y" "STANDING" 14 -0.01520781344
"Body Acceleration-mean()-Y" "STANDING" 15 -0.0183516360396226
"Body Acceleration-mean()-Y" "STANDING" 16 -0.0165999672935897
"Body Acceleration-mean()-Y" "STANDING" 17 -0.0174120064169231
"Body Acceleration-mean()-Y" "STANDING" 18 -0.0166353518150685
"Body Acceleration-mean()-Y" "STANDING" 19 -0.0154244056945205
"Body Acceleration-mean()-Y" "STANDING" 20 -0.0180695049161644
"Body Acceleration-mean()-Y" "STANDING" 21 -0.0167084730205618
"Body Acceleration-mean()-Y" "STANDING" 22 -0.0158563207496825
"Body Acceleration-mean()-Y" "STANDING" 23 -0.0177475547867647
"Body Acceleration-mean()-Y" "STANDING" 24 -0.0144785340348986
"Body Acceleration-mean()-Y" "STANDING" 25 -0.0163569730274324
"Body Acceleration-mean()-Y" "STANDING" 26 -0.0166608306652703
"Body Acceleration-mean()-Y" "STANDING" 27 -0.016593236445
"Body Acceleration-mean()-Y" "STANDING" 28 -0.0172635124672152
"Body Acceleration-mean()-Y" "STANDING" 29 -0.0172605869061538
"Body Acceleration-mean()-Y" "STANDING" 30 -0.0170163887813559
"Body Acceleration-mean()-Y" "WALKING" 1 -0.0173838185273684
"Body Acceleration-mean()-Y" "WALKING" 2 -0.0185949199145763
"Body Acceleration-mean()-Y" "WALKING" 3 -0.0171767844203448
"Body Acceleration-mean()-Y" "WALKING" 4 -0.0148399475341667
"Body Acceleration-mean()-Y" "WALKING" 5 -0.0172850317482679
"Body Acceleration-mean()-Y" "WALKING" 6 -0.0168954189082456
"Body Acceleration-mean()-Y" "WALKING" 7 -0.018653665345614
"Body Acceleration-mean()-Y" "WALKING" 8 -0.0186628865310417
"Body Acceleration-mean()-Y" "WALKING" 9 -0.0180891971284423
"Body Acceleration-mean()-Y" "WALKING" 10 -0.017022351190566
"Body Acceleration-mean()-Y" "WALKING" 11 -0.0166475833623729
"Body Acceleration-mean()-Y" "WALKING" 12 -0.015560927606
"Body Acceleration-mean()-Y" "WALKING" 13 -0.0185660651947368
"Body Acceleration-mean()-Y" "WALKING" 14 -0.0217785380966102
"Body Acceleration-mean()-Y" "WALKING" 15 -0.0170809740090741
"Body Acceleration-mean()-Y" "WALKING" 16 -0.0204286929452941
"Body Acceleration-mean()-Y" "WALKING" 17 -0.0184875403339344
"Body Acceleration-mean()-Y" "WALKING" 18 -0.0178023631866071
"Body Acceleration-mean()-Y" "WALKING" 19 -0.0191773587903846
"Body Acceleration-mean()-Y" "WALKING" 20 -0.021199992245098
"Body Acceleration-mean()-Y" "WALKING" 21 -0.0181610317526923
"Body Acceleration-mean()-Y" "WALKING" 22 -0.0167213607957174
"Body Acceleration-mean()-Y" "WALKING" 23 -0.0183618711932203
"Body Acceleration-mean()-Y" "WALKING" 24 -0.0225446400534483
"Body Acceleration-mean()-Y" "WALKING" 25 -0.0186477624716216
"Body Acceleration-mean()-Y" "WALKING" 26 -0.0154259586949153
"Body Acceleration-mean()-Y" "WALKING" 27 -0.0166478783221912
"Body Acceleration-mean()-Y" "WALKING" 28 -0.0156759722981481
"Body Acceleration-mean()-Y" "WALKING" 29 -0.0162915600588679
"Body Acceleration-mean()-Y" "WALKING" 30 -0.0175880385730769
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 1 -0.00991850461020408
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 2 -0.0226614158361702
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 3 -0.0193554079328571
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 4 -0.00980200850666667
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 5 -0.00850107533191489
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 6 -0.019536840063125
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 7 -0.0166332372978723
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 8 -0.0211058674973684
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 9 -0.0203994269075476
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 10 -0.0200050770710526
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 11 -0.0178097721219565
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 12 -0.018084266865793
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 13 -0.0143723839108511
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 14 -0.0200141413657778
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 15 -0.00563047804309524
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 16 -0.0183898583787234
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 17 -0.0167359404347826
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 18 -0.0168666920221818
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 19 -0.0145942275069487
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 20 -0.00964120773155556
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 21 -0.0173195390157778
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 22 -0.0197999371686389
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 23 -0.0162111457238889
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 24 -0.0145730348310909
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 25 -0.0210170522987931
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 26 -0.01262580966778
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 27 -0.0135564467159091
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 28 -0.0220230465913043
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 29 -0.01494121505625
"Body Acceleration-mean()-Y" "WALKING_DOWNSTAIRS" 30 -0.0174383900204839
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 1 -0.0239531492643396
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 2 -0.0214121132045833
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 3 -0.0324109410555932
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 4 -0.0319804295729615
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 5 -0.0325269755153191
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 6 -0.0272425385070588
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 7 -0.0275639005607843
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 8 -0.0282415136341463
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 9 -0.0195101099975714
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 10 -0.0143854920340426
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 11 -0.0303157822055556
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 12 -0.0263574903403846
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 13 -0.0277392253910909
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 14 -0.0204388180024074
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 15 -0.0287523860708333
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 16 -0.0143654945011765
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 17 -0.0228645614308333
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 18 -0.0222060684378914
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 19 -0.0303986615775
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 20 -0.0282258047588235
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 21 -0.0237218695148936
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 22 -0.0268622561133333
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 23 -0.0323844029237255
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 24 -0.0251979434569492
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 25 -0.0269863524264615
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 26 -0.0281633797398182
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 27 -0.0200953324078431
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 28 -0.0279443943478431
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 29 -0.0299465312326531
"Body Acceleration-mean()-Y" "WALKING_UPSTAIRS" 30 -0.0253311698786154
"Body Acceleration-mean()-Z" "LAYING" 1 -0.11320355358
"Body Acceleration-mean()-Z" "LAYING" 2 -0.107245610416667
"Body Acceleration-mean()-Z" "LAYING" 3 -0.101300477506452
"Body Acceleration-mean()-Z" "LAYING" 4 -0.110688150314815
"Body Acceleration-mean()-Z" "LAYING" 5 -0.107937603673077
"Body Acceleration-mean()-Z" "LAYING" 6 -0.133119570368421
"Body Acceleration-mean()-Z" "LAYING" 7 -0.101361036576923
"Body Acceleration-mean()-Z" "LAYING" 8 -0.102245365611111
"Body Acceleration-mean()-Z" "LAYING" 9 -0.10754972144
"Body Acceleration-mean()-Z" "LAYING" 10 -0.117168642362069
"Body Acceleration-mean()-Z" "LAYING" 11 -0.108786578070175
"Body Acceleration-mean()-Z" "LAYING" 12 -0.108160125666667
"Body Acceleration-mean()-Z" "LAYING" 13 -0.104331864532258
"Body Acceleration-mean()-Z" "LAYING" 14 -0.0868333315509804
"Body Acceleration-mean()-Z" "LAYING" 15 -0.118530240291667
"Body Acceleration-mean()-Z" "LAYING" 16 -0.107310493242857
"Body Acceleration-mean()-Z" "LAYING" 17 -0.107006279704225
"Body Acceleration-mean()-Z" "LAYING" 18 -0.107698927907692
"Body Acceleration-mean()-Z" "LAYING" 19 -0.10898146186747
"Body Acceleration-mean()-Z" "LAYING" 20 -0.104274322538235
"Body Acceleration-mean()-Z" "LAYING" 21 -0.103253832233333
